item_no,task_id,domain,context,question,gold_standard,expert_verdict (VIOLATION/COMPLIANT),gold_standard_correct (Y/N),comments
23,TASK-PROMO_REVIEW-26F7777E,promo_review,"At NovaBio Inc., the marketing team recently launched a promotional campaign for their new medication, Nexarol, using a legacy customer relationship management (CRM) system, version 8.2, which has been running in read-only mode since 2020 due to compatibility issues with newer software. The campaign included print and digital advertisements that presented the benefits of Nexarol in a font size 25% larger than the risks, with the risk information detailed in a separate section. The team also created a dedicated webpage for Nexarol, which included a 'Patient Stories' section featuring testimonials from five patients who experienced significant improvements, but the website was not updated with a recent black box warning due to a delay in receiving the revised labeling from the FDA, which was received on February 10, 2023, but the update was scheduled for March 1, 2023, to coincide with a planned system maintenance. Meanwhile, the regulatory affairs department had recently implemented a new quality control process for promotional materials, requiring two independent reviews and a 24-hour waiting period before final approval. In this particular case, the review was completed in 23 hours and 59 minutes, with the second reviewer using an outdated version of the promotional material review checklist, but the deviation was properly logged and addressed according to the company's standard operating procedure (SOP) 102-001, version 3.1.","Does the promotional campaign for Nexarol comply with the fair balance requirement under 21 CFR 202.1(e)(1), given the delayed update of the black box warning and the use of different font sizes for benefits and risks?","The promotional campaign for Nexarol does not comply with the fair balance requirement under 21 CFR 202.1(e)(1) because the benefits are presented more prominently than the risks due to the larger font size used for benefits, even though the risk information is detailed in a separate section. The red herring, the delay in updating the black box warning, is not the violation because 21 CFR 202.1(e)(3)(ii) requires the most recent warning to be included only if it is 'required to be included in the labeling' at the time of dissemination, and the company had a scheduled update that would include the revised labeling. The use of a legacy CRM system and the 24-hour review process are also compliant, with the latter being a quality control process that exceeds regulatory requirements. The actual violation hinges on the specific presentation of benefits and risks in the promotional materials, as outlined in 21 CFR 202.1(e)(1) and reinforced by the FDA's guidance on 'Brief Summary and Adequate Provision' in promotional labeling.",,,
24,TASK-21CFR11-5B6AF60B,21cfr11,"At NovaBio Inc., the IT department applied a security-only OS patch to the server hosting the validated Electronic Document Management System (EDMS), version 3.2.1, on February 10, 2023. The patch was classified as 'low risk, no functional change' and was installed without generating a formal change control record or conducting an impact assessment. The EDMS users, including QA staff, performed post-patch smoke tests and user acceptance tests, which all passed without issues. The vendor's release notes for the OS patch explicitly stated 'no application changes.' Additionally, the EDMS system has a redundant, read-only mirror site that was not patched, providing continued access to all documents. The QA team, after verifying the smoke tests and user acceptance tests, documented that 'the validated state of the EDMS is unaffected' and closed the event without requiring re-validation. However, the decision not to re-validate was based on an informal review and was not formally documented or justified in the change control records.",Is NovaBio Inc. in compliance with 21 CFR Part 11 requirements for change control and validation after applying the OS patch to the EDMS server?,"No, NovaBio Inc. is not in compliance. According to 21 CFR 11.10(a) and FDA's 2003 Part 11 guidance Section IV, any change to a validated system, including infrastructure changes like OS patches, requires a documented impact assessment. The decision not to re-validate must be documented and justified. The absence of a formal impact assessment and a documented justification for not re-validating means the validation status of the EDMS is unsubstantiated, despite the patch being classified as 'low risk' and the successful smoke and user acceptance tests. The Red Herring of the redundant, read-only mirror site, which was not patched and continued to provide access to documents, is compliant as it ensures continued access to documents but does not address the validation and change control requirements for the patched server.",,,
25,TASK-PROMO_REVIEW-152088FC,promo_review,"At NovaBio Inc., the marketing team recently launched a promotional campaign for their new drug, Xylophene, using a legacy customer relationship management (CRM) system, version 8.2, which has been running in read-only mode since its upgrade in February 2022. The campaign includes a series of video testimonials from patients who have used Xylophene for off-label purposes, with a brief summary of risks presented in a font size 2 points smaller than the benefits. The promotional materials were reviewed and approved by the medical director, Dr. Rachel Kim, on January 10, 2023, at 10:00 AM, but the approval timestamp in the CRM system shows 10:05 AM due to a delayed synchronization with the central server, which is permissible according to the company's SOP 2022-001. Meanwhile, the sales team has been using a new mobile app, MedRep, version 3.1, to track customer interactions, which has an automated feature to send a follow-up email with the full prescribing information (PI) to healthcare professionals who request it. On February 15, 2023, the FDA sent a notification to NovaBio Inc. regarding a new black box warning for Xylophene, which was promptly updated in the MedRep app but not in the legacy CRM system. The marketing team claims that since the legacy CRM system is only used for historical data and is read-only, it does not need to be updated with the new black box warning.","Is the promotional campaign for Xylophene compliant with the fair balance rule under 21 CFR 202.1(e)(1), given the presentation of benefits and risks in the video testimonials and the omission of the updated black box warning in the legacy CRM system?","The correct answer is that the promotional campaign is not compliant with the fair balance rule because it fails to meet the requirements of 21 CFR 202.1(e)(3)(ii), which specifically states that if a product has a black box warning, the warning must be prominently displayed in any promotional piece that makes claims about the product's efficacy. The fact that the legacy CRM system is read-only and only used for historical data does not exempt it from this requirement, as the system is still being used to disseminate promotional information to healthcare professionals. The Red Herring in this scenario is the delayed timestamp in the CRM system, which is actually permissible according to the company's SOP. The subtle violation is the failure to update the black box warning in the legacy CRM system, which is a procedural lapse that is easy to overlook due to the system's read-only status and the presence of the new MedRep app with the updated PI.",,,
26,TASK-GCP_DEVIATION-E16FF46E,gcp_deviation,"At NovaBio Inc., a phase III clinical trial for a new oncology treatment is underway. The trial utilizes an electronic data capture (EDC) system, Medidata Rave version 2019.4.0, for data collection and management. On February 10, 2023, the investigator at Site 012 realized that the EDC system was temporarily down for scheduled maintenance from 2:00 AM to 4:00 AM due to a software update, resulting in the delayed entry of critical adverse event (AE) data for one subject. The AE was initially recorded on paper and later entered into the EDC system at 4:15 AM, after the system was back online. The investigator signed the AE report at 4:20 AM. Notably, the trial's protocol includes a pre-approved exception for minor deviations related to AE reporting, specified in Section 8.3.2. However, this exception does not apply to serious adverse events (SAEs) that are not immediately reported to the sponsor. The delayed AE was not an SAE but was related to a secondary endpoint. Meanwhile, the study's data manager, responsible for reviewing and verifying data, was out of the office on vacation and had set up an auto-response on her email, stating she would respond to messages upon her return on February 20, 2023. The study's protocol includes a requirement for immediate notification of the sponsor for any deviations, as stated in Section 4.8.2 of ICH E6(R2). It appears that the most pressing issue is the data manager's unavailability and the potential lack of oversight, especially since the EDC system's audit trail indicates that several data points were modified during the system downtime, albeit by authorized personnel and properly documented. The system's audit trail also confirms that all data entries and modifications were done in accordance with the protocol's data management plan, and the system was in a controlled, read-only state during the maintenance window. Furthermore, an independent review of the AE reporting process confirmed that all reports were submitted within the protocol-specified timelines, despite the initial delay in data entry. However, a closer examination reveals that the AE report signed by the investigator at 4:20 AM was not immediately available to the sponsor due to a misconfiguration in the EDC system's notification settings, which are supposed to send automated notifications to the sponsor for certain types of reports, including AE reports.","Does the delay in the availability of the AE report to the sponsor due to the misconfigured notification setting constitute a significant protocol deviation requiring expedited reporting to the IRB/IEC, according to ICH E6(R2) §4.8.2 and 21 CFR 50.25?","Yes, the delay in the availability of the AE report due to the misconfigured notification setting does constitute a significant protocol deviation. According to ICH E6(R2) §4.8.2, the sponsor is responsible for ensuring that all significant protocol deviations are reported to the IRB/IEC. Furthermore, 21 CFR 50.25(b)(2) requires that all unanticipated problems involving risks to human subjects or others be reported promptly to the IRB. The Red Herring, the data manager's auto-response and temporary absence, is not the violation because ICH E6(R2) §5.18.3 states that the sponsor should ensure adequate monitoring, but it does not specify the immediacy of the data manager's availability as a strict requirement for compliance. The actual violation hinges on the misconfigured notification setting delaying the sponsor's access to critical AE data, crossing the threshold for significant deviation reporting under ICH E6(R2) §4.8.2 and 21 CFR 50.25.",,,
27,TASK-21CFR11-F3502F2A,21cfr11,"At NovaBio Inc., the quality assurance team, led by QA Manager, Jane Smith, has implemented an electronic laboratory information management system (LIMS) called 'LabPro' to manage all laboratory data. LabPro has been generating time-stamped audit trails for all user activities since its implementation on January 1, 2022. The system captures user IDs, dates, and times of all changes made to electronic records. However, the standard operating procedure (SOP) for LabPro only requires the generation of audit trails but does not specify the need for regular review of these trails. The IT department, responsible for maintaining LabPro, consists of 5 staff members who ensure the system is operational 24/7. The system has been modified three times since its implementation, with the most recent update occurring on June 15, 2022, which added a new feature for automated data backup.","Is NovaBio Inc. in compliance with the regulatory requirements for audit trails as per 21 CFR Part 11, given that LabPro generates time-stamped audit trails for all user activities but the company's SOP does not mandate regular review of these audit trails?","Pursuant to 21 CFR 11.10(e), the regulation requires that audit trails be both generated and reviewed, stating 'Audit trails shall be used to capture changes made to the electronic records and shall be maintained and available for review for a period consistent with the retention period for the electronic records.' Therefore, NovaBio Inc. is not in compliance with 21 CFR 11.10(e) as their SOP does not ensure the review of audit trails, despite the generation of time-stamped audit trails by LabPro.",,,
28,TASK-REAL-GCP_DEVI-C2E5DBB1,gcp_deviation,"NovaBio Inc.'s clinical investigator, Dr. Sabine Hazan, conducted a clinical investigation without ensuring that an Institutional Review Board (IRB) complied with 21 CFR part 56 was responsible for the initial and continuing review and approval of the proposed clinical study. Specifically, IRB approval for Protocol (b)(4) lapsed from (b)(4) to (b)(4), during which time ten subjects were enrolled and administered investigational drugs.",Is it acceptable for a clinical investigator to conduct a clinical investigation without ensuring that an IRB that complies with 21 CFR part 56 is responsible for the initial and continuing review and approval of the proposed clinical study?,21 CFR 312.66 and 21 CFR part 56 require that a clinical investigator ensure that an IRB that complies with the requirements set forth in part 56 is responsible for the initial and continuing review and approval of a proposed clinical investigation.,,,
29,TASK-GMP_DEVIATION-0D45BE7C,gmp_deviation,"At NovaBio Inc., a batch of API (Active Pharmaceutical Ingredient) with batch number NB001 was found to have an out-of-specification (OOS) result for purity during routine testing on February 10, 2023. The OOS result was 99.4%, which is below the specified limit of 99.5%. However, during the investigation, it was discovered that the OOS result was due to a laboratory error, specifically a miscalibration of the HPLC system used for testing, which was found to be caused by an unqualified analyst. Despite this, the batch had passed all other specifications, including potency and impurity profiles, with results well within the acceptable limits. The investigation concluded that the error did not affect the batch's quality, but a procedural non-compliance was identified: the calibration of the HPLC system was not performed according to the established schedule, which had lapsed by 2 days.",What should be the disposition of batch NB001 based on the findings of the investigation?,"According to 21 CFR 211.165, '...the batch shall be rejected if the failure of a batch or any of its components to meet any of its specifications may have been caused by a deviation from current good manufacturing practice...' However, the key consideration here is 21 CFR 211.192, which states that '...the firm shall not retest a defective batch to meet specifications, unless...the retest is performed according to an approved stability indicating test method..., or, in the case of an out-of-specification result that cannot be confirmed, an investigation is conducted, and the investigation indicates that the out-of-specification result is the result of an error in the test procedure.' Given that the investigation confirmed the OOS result was due to a laboratory error (miscalibration) and not related to the batch's quality, but a procedural non-compliance (equipment calibration lapse) was found, the correct action under these specific conditions hinges on the interpretation of the regulation, particularly the emphasis on the cause of the OOS result being a procedural error rather than a quality issue of the batch itself. The regulation focuses on the quality of the batch rather than the procedural compliance during testing, leading to a counterintuitive conclusion regarding batch disposition.",,,
30,TASK-PROMO_REVIEW-D5118490,promo_review,"At NovaBio Inc., the marketing team recently launched a promotional campaign for their new diabetes medication, Glucorin, using a legacy customer relationship management (CRM) system, version 8.2, in read-only mode since January 2022, to comply with 21 CFR 11.10. The campaign includes print ads in major medical journals and an interactive website with detailed patient testimonials and risk information. Notably, the risk section mentions potential side effects but does not include the black box warning required for this class of drugs under certain conditions. However, the team ensured that all promotional materials were reviewed and approved by the medical affairs department on February 10, 2023, with a timestamp of 10:05 AM, and the IT department confirmed the CRM system's audit trail was intact, showing compliance with data integrity requirements. Curiously, the review process was delayed by three days due to a minor deviation reported in the deviation log on February 7, 2023, which was properly handled according to SOP-DEV-001. The promotional materials were circulated to 500,000 healthcare professionals via email on February 12, 2023.","Does the promotional campaign for Glucorin comply with the requirements for fair balance and disclosure of risk information under 21 CFR 202.1, considering the specifics of its presentation and distribution?","The campaign violates 21 CFR 202.1(e)(3)(ii) because it fails to include the black box warning in the brief summary for the specific patient population where such a warning is required, despite mentioning potential side effects. The subtle violation lies in the omission of the black box warning in a context where it is mandated, not in the use of the legacy CRM system, which is compliant as it operates in read-only mode. The compliant handling of the deviation log entry and the proper review and approval process serve as a red herring, distracting from the actual compliance gap related to the specific conditions triggering the brief summary requirement under 21 CFR 202.1(e)(1) and the exemptions thereto.",,,
31,TASK-PROMO_REVIEW-8B2E63C8,promo_review,"At NovaBio Inc., the promotional review team, led by Regulatory Affairs Specialist, Jane Smith, used the Veeva CRM system (version 21.1) to review a recent print ad for their new product, Xylophene, on February 10, 2023. The team correctly followed the February 2022 guidance on brief summary requirements, ensuring that all materials were submitted through the FDA's OPDP portal within the 5-day timeframe. However, during the review process, the team noticed that the ad's risk information section was presented in a font size 1 point smaller than the benefit claims, but included all necessary safety information, including a black box warning about potential liver damage. The review team used a legacy system, PromoMate (version 3.4), in read-only mode to track historical data on similar promotions, which seemed unusual but was explained as a temporary measure during the migration to Veeva. The same day, 500 copies of the ad were sent to healthcare providers, while 200 were held back due to a minor printing error. On February 12, 2023, an email from the marketing team to Jane Smith mentioned that the ad's digital version was posted online, but the team had delayed posting it to social media platforms until they could ensure compliance with new social media guidance.","Is the Xylophene print ad compliant with FDA regulations regarding fair balance and brief summary requirements, specifically considering the presentation of risk information and the conditions under which a brief summary is not required?","The correct answer hinges on 21 CFR 202.1(e)(1) and the specific conditions under 21 CFR 202.1(e)(3)(ii) that exempt the brief summary requirement for certain types of promotional materials. The ad is non-compliant because, despite including all necessary risk information, the presentation of benefits in a larger font size than the risk information fails the fair balance test. The use of the legacy PromoMate system in read-only mode is fully compliant and not the violation. The key issue is the font size disparity, which violates the principle of presenting risk information with at least the same prominence as benefit claims, as implied by the requirement for fair balance under 21 CFR 202.1(e)(1).",,,
32,TASK-INFORMED_CONSENT-6D4538DE,informed_consent,"At NovaBio Inc., a study titled 'NB-101' was initiated in 2018, and 500 subjects completed all scheduled visits by December 2020. The study involved collection of blood samples for future research. In January 2022, the sponsor proposed a protocol amendment to store the leftover samples in a central repository for potential future use, including genetic analysis, without any additional subject contact or new procedures. The Institutional Review Board (IRB) is considering whether re-consent is required. The original informed consent document mentioned the possibility of storing samples for 'future medical research' but did not explicitly address genetic studies.",Is re-consent of the 500 subjects who have completed all scheduled visits required for the proposed protocol amendment to store their leftover samples for potential genetic analysis in a central repository?,"Re-consent is required, as the addition of genetic analysis constitutes a new research purpose that was not adequately addressed by the broad term 'future medical research' in the original consent form, and does not meet the criteria for a waiver under 45 CFR 46.116, specifically because the research is not 'minimal risk' as defined by 45 CFR 46.102(i), and the subjects' initial consent did not adequately inform them of this new purpose, contrary to the requirements outlined in 21 CFR 50.25(a)(1) regarding the basic elements of informed consent.",,,
33,TASK-INFORMED_CONSENT-CD556272,informed_consent,"At NovaBio Inc., a phase III clinical trial for a new oncology treatment, NB-101, involves 500 subjects across 20 sites. The trial uses a custom-built EDC system, NovaEDC v2.1, for data collection. Recently, a protocol amendment added a non-invasive, 10-question quality-of-life survey administered via a separate, web-based platform, SurveyPro v1.5, which does not integrate with NovaEDC. The amendment also updated the informed consent form (ICF) to reflect this change. Notably, the ICF update was approved by the IRB on February 10, 2023, but due to an oversight, the SurveyPro platform was activated on February 5, 2023, for logistical testing purposes, with a 'dummy' subject account used to ensure survey functionality. The testing was properly documented and did not involve actual subject data. However, this activation occurred before the IRB approval of the ICF update. Meanwhile, all clinical trial staff were trained on the new survey protocol and ICF updates between February 12-15, 2023. The first subject under the updated protocol was enrolled on February 20, 2023. The 'dummy' account was deleted after successful testing, and no actual subject data was collected before IRB approval. The trial's data management team diligently logs all system changes and has a deviation log entry for the premature SurveyPro activation, which was properly assessed and found to pose no risk to subjects. The team also ensured that the legacy system, used for archiving old trial data, remains in read-only mode, as required.","Does the premature activation of the SurveyPro platform for logistical testing, before IRB approval of the updated ICF, necessitate re-consent from all subjects who were already enrolled in the trial, considering the amendment and the use of a 'dummy' subject account for testing?","Re-consent is not required for subjects already enrolled, as per 45 CFR 46.116, which allows for minor changes that do not affect the risks and benefits of the research. The key factor is that no actual subject data was collected before IRB approval, and the 'dummy' account testing did not involve human subjects. The premature SurveyPro activation, though before IRB approval, was part of logistical testing and did not involve actual subject interaction, thus it does not trigger the re-consent requirement. The red herring of premature system activation initially suggests a violation, but it is mitigated by the lack of actual subject involvement and proper documentation of the testing, which was found to pose no risk to subjects. The actual procedural lapse lies in not having obtained IRB approval before any system changes that could affect the conduct of the trial, even if no subject data was collected, highlighting the importance of timing and documentation in regulatory compliance, as outlined in 21 CFR 50.25 and ICH E6(R2) §4.8.2.",,,
34,TASK-21CFR11-70E77590,21cfr11,"At NovaBio Inc., the QA team led by Rachel Lee, completed a data migration from the legacy LIMS v2.3 to a new LIMS system on February 10, 2023. The migration reformatted date fields, normalized units, and mapped old column names to the new schema. Post-migration reconciliation scripts verified record counts, checksums, and a 5% random sample spot-check — all matching the source data. The legacy system was left in read-only mode to ensure data integrity. The QA lead certified the migration as 'validated and fully traceable.' However, the audit trail records a single entry: 'Batch migration from LegacyLIMS v2.3 on 02/10/2023' per task, without a field-level record of original vs. new value for each transformed field. Meanwhile, the IT department had properly logged and addressed a minor deviation in the system clocks between the legacy and new LIMS, adjusting timestamps accordingly to ensure data consistency.","Does the audit trail meet the regulatory requirements for data migration as per 21 CFR Part 11, considering the single bulk entry and the post-migration verification process?","21 CFR 11.10(e) requires that audit trail entries capture the original value, the new value, who made the change, when, and why at the individual record/field level. The single bulk migration log entry does not allow reconstruction of what any individual field contained before migration, thus violating this requirement. The post-migration reconciliation and the proper handling of the system clock deviation are compliant processes but do not compensate for the lack of field-level granularity in the audit trail entries. Therefore, the migration does not meet the regulatory requirements due to the absence of detailed audit trail entries for each changed field.",,,
35,TASK-PROMO_REVIEW-7977E160,promo_review,"At NovaBio Inc., the marketing team launched a promotional campaign for their new drug, Xylara, on February 10, 2023. The campaign included a video testimonial from a patient who experienced significant improvement in symptoms. The video includes a 30-second segment discussing the benefits of Xylara, followed by a 10-second mention of potential side effects, which appears in small print on the screen. The video is hosted on the company's website and has been viewed over 10,000 times. NovaBio's regulatory affairs specialist, Rachel Lee, reviewed the video and approved it for distribution, citing that it includes risk information and therefore meets the fair balance requirement.","Does the promotional video for Xylara comply with the fair balance requirement under 21 CFR 202.1, given that it presents benefits more prominently than risks?","The video does not comply with the fair balance requirement because, according to 21 CFR 202.1(e)(1), a promotional piece must present a 'true statement' of information in a 'clear, conspicuous, and neutral manner', and 21 CFR 202.1(e)(3)(ii) specifically requires that risk information be presented with 'prominence and readability' comparable to that of benefit information. The brief summary requirement is triggered because the video makes a 'representation' about the drug's benefits without providing a balanced view of its risks, as outlined in 21 CFR 202.1(e)(1) and further clarified in the FDA's Guidance for Industry on the Brief Summary and Adequate Provision, which emphasizes the importance of presenting risk information in a clear and conspicuous manner.",,,
36,TASK-21CFR11-337046E2,21cfr11,"At NovaBio Inc., the quality assurance team utilizes the 'eRecords' system, which generates time-stamped audit trails for all user-initiated changes to electronic records. As of February 10, 2023, the system has been configured to capture the user ID and the date/time of all changes. The QA team reviews these audit trails quarterly as part of their routine quality control checks. Recently, during an internal audit, it was discovered that system-initiated changes, such as automatic backups and software updates, were not being captured in the audit trails. The eRecords system is used to store and manage approximately 500 electronic batch records for NovaBio's pharmaceutical products.","Is NovaBio Inc. in compliance with 21 CFR Part 11 requirements for audit trails, given that their eRecords system generates time-stamped audit trails for user-initiated changes but does not capture system-initiated changes?","According to 21 CFR 11.10(e), audit trails must be 'available for all changes, to create, modify, or delete electronic data; the audit trail must include the date and time of the change, the person who made the change, and the reason for the change.' Since the eRecords system does not capture all required metadata, specifically system-initiated changes, NovaBio Inc. is not in compliance with the regulation.",,,
37,TASK-INFORMED_CONSENT-D2F11CC4,informed_consent,"At NovaBio Inc., a Phase III clinical trial for a new oncology treatment (Protocol NB-123) is ongoing, using a custom Electronic Data Capture (EDC) system, version 3.4.5, and a legacy patient registry system, 'HelixDB', which has been operating in read-only mode since 2018, with proper deviation log entries. The study involves 500 subjects, with 200 having completed their last study visit by December 2022. On January 10, 2023, the study team amended the protocol to include a new, non-invasive, electronic patient-reported outcome (ePRO) questionnaire, using the 'RedCap' system, which was implemented after IRB approval but before the required 45-day window for re-consent had passed. Notably, the IRB had initially waived the requirement for re-consent under 45 CFR 46.116 for minor changes, but the addition of the ePRO questionnaire was deemed a significant enough alteration to potentially impact subject risk. However, due to a 'system lag', the ePRO system was available to subjects 2 days before the official implementation date, although no subjects accessed it during this time. Meanwhile, a routine audit on February 1, 2023, revealed all study documents, including informed consent forms, were properly updated and version-controlled within the EDC system.","Does the addition of the ePRO questionnaire to Protocol NB-123 require re-consent from subjects who have already completed their last study visit, considering the specifics of the protocol amendment and the systems used?","Re-consent is required for subjects who have completed their last study visit because, despite the IRB's initial waiver under 45 CFR 46.116 for minor changes, the addition of the ePRO questionnaire constitutes a significant alteration that may affect the risks and benefits to subjects, necessitating re-consent as per 21 CFR 50.25 and ICH E6(R2) §4.8.2. The Red Herring of the 'system lag' and the legacy 'HelixDB' operating in read-only mode does not constitute a violation in this context, as the critical issue is the change to the protocol that impacts subject risk, not the temporary availability of the ePRO system or the use of a read-only legacy system with proper deviation logging.",,,
38,TASK-REAL-PROMO_RE-0FD312B0,promo_review,"The FDA evaluated CooperSurgical Inc.'s corrective actions in response to a Warning Letter dated February 12, 2021. The firm had taken steps to address violations related to the promotion of its drug products. The FDA assessed the adequacy and sustainability of these corrections, which included changes to its promotional materials and training programs for employees involved in promotional activities.",What is the regulatory expectation for a firm's response to a Warning Letter regarding promotional activities?,"21 CFR 202.1(e)(5), which states that a firm must take prompt action to correct the violative conditions and prevent their recurrence.",,,
39,TASK-PROMO_REVIEW-182B51CC,promo_review,"At NovaBio Inc., the marketing team launched a promotional campaign for their new diabetes medication, GlucoSafe, on February 10th. The promotional piece, a print ad, included a prominent display of the drug's efficacy data, with a smaller section at the bottom detailing the common side effects. The ad was reviewed by the regulatory affairs specialist, who noted that while the ad did mention the major risks associated with GlucoSafe, such as hypoglycemia and weight gain, these were presented in a relatively small font size compared to the benefits. Meanwhile, the company's competitor, Helix Pharma, recently received an FDA warning letter for a similar ad that omitted a black box warning. NovaBio's ad, however, did include the required brief summary, but only for the indications approved by the FDA, and not for the off-label use that was being promoted. On March 1st, the FDA's Office of Prescription Drug Promotion (OPDP) sent a notice to NovaBio requesting additional information on the fair balance of the GlucoSafe ad.","Does the promotional piece for GlucoSafe comply with the fair balance requirement under 21 CFR 202.1(e)(1), given that it includes both benefits and risks, but presents the benefits more prominently and does not include the black box warning in the brief summary for the off-label use being promoted?","The promotional piece for GlucoSafe does not comply with the fair balance requirement because, according to 21 CFR 202.1(e)(3)(ii), a brief summary is required for each indication being promoted, including off-label uses, and must include all the information required under 21 CFR 201.57, including any boxed warning. Furthermore, 21 CFR 202.1(e)(1) requires that the brief summary be presented in a clear and conspicuous manner, which is not the case here given the smaller font size of the risk information compared to the benefits.",,,
40,TASK-INFORMED_CONSENT-7C94D2DC,informed_consent,"At NovaBio Inc., a protocol amendment was approved on February 10, 2023, to add a non-invasive, web-based patient-reported outcome (PRO) questionnaire to an ongoing Phase III study (NCT04876543) using the Medidata Rave EDC system (version 2022.08.01). The amendment was classified as a 'minor' change by the sponsor. The study's principal investigator, Dr. Emma Taylor, signed the amendment on February 12, 2023. The study team used a legacy system, Oracle Clinical (version 5.5.2), in read-only mode for data archival purposes, with a deviation log entry (DL-001) documenting the rationale for not upgrading to the latest version due to stability concerns. The amendment was notified to the institutional review board (IRB) on February 15, 2023, with a cover letter stating that re-consent was not required due to the minor nature of the change. The PRO questionnaire was activated in the EDC system on February 20, 2023, and 500 study participants were notified via email to complete it. However, the study's informed consent document was last updated on January 1, 2022, and the IRB approval for the original study was obtained on June 1, 2021.","Is re-consent of the study participants required for the added non-invasive, web-based PRO questionnaire, given the minor amendment and the fact that the study's informed consent document was not revised to include information about the new questionnaire?","Re-consent is required, contrary to the assumption that a minor amendment does not necessitate re-consent. According to 21 CFR 50.25 and 45 CFR 46.116, re-consent is required when changes are made to the research that affect the rights and welfare of subjects, unless the changes are initiated by the IRB to eliminate apparent immediate hazards to subjects. The Red Herring, the use of a legacy system in read-only mode, is compliant as it is properly documented and managed (DL-001). The violation lies in the failure to re-consent participants due to the introduction of a new data collection method, which could potentially impact subject rights and welfare, as specified in 45 CFR 46.116(a)(5)(i), requiring that 'the consent document includes a statement that informs the subject that he or she will not be withdrawn from the study without their consent, unless it is necessary to eliminate an immediate hazard to the subject's health or welfare.' The subtle procedural lapse is the incorrect assumption that a minor amendment does not require re-consent without properly evaluating the impact on subject rights and welfare.",,,
41,TASK-INFORMED_CONSENT-DF69E74D,informed_consent,"At NovaBio Inc., a phase III clinical trial for a new oncology treatment (NBIO-123) was initiated on February 10, 2022, using a custom-built electronic data capture (EDC) system, version 2.1.5. The system, although not validated for 21 CFR Part 11 compliance due to its 'hybrid' nature with some manual processes, was correctly operating in a read-only mode for source data verification, which initially raised concerns among auditors but was deemed acceptable. On August 15, 2022, a protocol amendment (version 1.2) was approved by the IRB, adding a non-invasive, electronic patient-reported outcome (ePRO) questionnaire to assess patient satisfaction, which under 45 CFR 46.116(b)(2) does not require additional consent as it is considered a minimal risk alteration. However, the amendment also involved updating the informed consent document template to reflect the new ePRO tool, and this updated template was not immediately distributed to all sites due to a 'temporary technical glitch.' Meanwhile, on September 1, 2022, 50 study participants completed their last study visit and were subsequently asked to contribute their biospecimens to a repository for future research, with the understanding that this was covered under the original consent. Notably, these participants' original informed consent forms (ICFs) were signed using an electronic signature platform before the amendment, and no re-consent was pursued, reasoning that since the repository use was not explicitly excluded in the original consent, and given the minimal risk involved, re-consent was not necessary.","Does the failure to re-consent the 50 study participants who completed their last study visit before contributing their biospecimens to the repository violate any regulatory requirements regarding informed consent, considering the protocol amendment and the nature of the repository research?","The correct answer hinges on 45 CFR 46.116, which requires that for research involving biospecimens, consent must be obtained for the specific use of those specimens in research, even if the research poses minimal risk. The red herring in this scenario, the delay in distributing the updated informed consent template, is not the compliance gap, as it does not directly pertain to the biospecimen repository issue. The subtle violation here is the failure to obtain re-consent for the biospecimen repository, which is required under 45 CFR 46.116 because the original consent did not explicitly cover the future use of biospecimens for research, even though the research is considered minimal risk. The reasoning that the original consent covered this use is incorrect, as the regulation requires specific consent for such uses, making re-consent necessary.",,,
42,TASK-21CFR11-EC8ABECD,21cfr11,"At NovaBio Inc., the Quality Assurance department implemented an electronic laboratory information management system (LIMS) named 'LabGenius' in January 2022. The system automatically generates time-stamped audit trails for all changes made to electronic records, including those initiated by the system itself, such as automated backups and software updates. The IT department configured LabGenius to store these audit trails for a minimum of 10 years as per the company's retention policy. NovaBio's current Standard Operating Procedure (SOP) for LabGenius requires the generation of audit trails but does not explicitly mandate their periodic review by authorized personnel. The company's QA manager, Jane Smith, believes that having the audit trails automatically generated and stored is sufficient for compliance with FDA regulations.",Is NovaBio's current practice regarding the generation and handling of audit trails in the LabGenius system compliant with the requirements outlined in 21 CFR Part 11?,"According to 21 CFR 11.10(e), the regulation requires that audit trails be both generated and reviewed by authorized personnel. The regulation states: 'Use of audit trails to regularly review activity of individual accounts and detect and report discrepancies in data maintained in the electronic records system.' Therefore, NovaBio's practice is not compliant because it lacks the periodic review of audit trails as mandated by 21 CFR 11.10(e).",,,
43,TASK-REAL-GMP_DEVI-FD94403C,gmp_deviation,"Lex Inc., a drug manufacturing facility, was inspected by the FDA from February 13 to February 28, 2023. The inspection revealed that the quality control unit failed to exercise its responsibility to ensure drug products manufactured are in compliance with CGMP. The quality unit did not provide adequate oversight for the manufacture of over-the-counter (OTC) drug products, including authority and responsibility for written procedures, approval or rejection of components and drug products, and review of production and control records.",Is it compliant with CGMP regulations for a quality control unit to fail to provide adequate oversight for the manufacture of drug products?,21 CFR 211.22 requires that the quality control unit have the responsibility and authority to ensure that drug products are manufactured in compliance with CGMP.,,,
